category,text
task,Бұл тапсырма қалай орындалады?
task,Мен бұл жаттығушыны орындау үшін не істеймін?
task,Бұл есепті шешу үшін қай формуланы қолдану керек?
task,Бұл жаттығуды орындау барысында қандай қиындықтар кездеседі?
task,Бұл тапсырма бойынша жалпы тұсымым не болуы керек?
task,Мен тапсырманы орындауды бастамағаныма не болады?
task,Бұл жаттығуда қандай санаттарды орналастыру керек?
task,Мен қай есепкерді қолдану керек?
task,Бұл жаттығушыны орындауда кімдерге сұрау қоюға болады?
task,Тапсырма жоғары қалайтадан орналасқан?
task,Тапсырма неге болмайды?
task,Бұл жаттығудың аяқталу уақыты қашан?
task,Бұл есепті шешу үшін қай құралды қолдану керек?
task,Тапсырма қайда жатады?
task,Мен тапсырма бойынша дайындау кезеңіні қалай жоспарлау керек?
task,Бұл жаттығуды орындауда кім болады?
task,Бұл жаттығуды қандай қадамдармен орындау керек?
task,Тапсырма қайда тұр?
task,Бұл тапсырма үшін керек құралдар не?
task,Бұл тапсырма қандай әрекеттерді қажет етеді?
org,Сабақ кезінде кім болады?
org,Сабақ қашан басталады?
org,Қайда жаттығу орындалады?
org,Сабақтың жалпы кестесі қандай?
org,Сабақта қандай дайындық қажет?
org,Біз қашан жиналыс істейміз?
org,Сабаққа қашан келу керек?
org,Қандай қиызметкерлер болады?
org,Сабақта қандай материалдарды қолдану керек?
org,"Кім болмаса, біз қандай жұмыс істейміз?"
org,Қайда сабақтың жоспары орналасқан?
org,Кімдерге сұрау қою қажет?
org,Сабақтың кестесі қалай өзгереді?
org,Сабақ қашан аяқталады?
org,Қай кезде жиналысты жоспарлау керек?
org,Сабақтың кестесі қайда жатады?
org,Сабақ қашан болады?
org,Сабақтың аяқталу уақыты қашан?
org,Қай жерде сабақтың материалдары орналасқан?
org,Сабақтың ұсынысы қайда жатады?
additional_materials,Мен тапсырмаға дайындық үшін қосымша материалдарды қайда таба аламын?
additional_materials,Қандай кітаптарды оқуға мәслехат бересіз?
additional_materials,Қай веб-сайттар тапсырмаға көмек етеді?
additional_materials,Қандай видеоларды көруді мәслехат бересіз?
additional_materials,Қайда қосымша ресурстарды табуға болады?
additional_materials,Бұл тақырыпта қосымша материалдарды қайда табуға болады?
additional_materials,Қандай ресурстарды пайдалану керек?
additional_materials,Тақырып бойынша қандай кітаптарды оқу керек?
additional_materials,Маған бұл тақырып бойынша қосымша материалдар қайда болады?
additional_materials,Қандай бейне материалдарды көретіндерді мәслехат бересіз?
additional_materials,Тақырыпты қалай дайындау керек?
additional_materials,Қандай ресурстарды қолдану керек?
additional_materials,Қандай интернет-ресурстарды пайдалану керек?
additional_materials,Бұл тақырып бойынша қайда қосымша материалдарды табуға болады?
additional_materials,Қайда қосымша материалдарды табу мүмкін?
additional_materials,Қандай құралдарды пайдалану керек?
additional_materials,Қандай видеоларды көруге мәслехат бересіз?
additional_materials,Қандай интернет-ресурстарды пайдалану керек?
additional_materials,Қайда қосымша ресурстарды табуға болады?
additional_materials,Қандай өзге материалдарды қарауға мәслехат бересіз?
other,Біреу жаңы фильмдерді көрген бе?
other,"Бүгін жылы, деңгей ашу керек."
other,Менің себебім жаңа кофе машинасы.
other,Қайсында бірден дене ауырды?
other,Бірақ құлақпақтарымдағы ән арқылы қана сөйлеймін.
other,Мен бүгін дайын болмағаным себебі қайда қоюым керек екен ешкімге айтпаған жағдайда.
other,"Менің балауындарымдың қай жерде болуы керек екеніне көз жүгіртіп, өзімді айыптамақшы емеспін."
other,Алтын іздеп жүрген адамдардың көпшілігі қайда?
other,Кешегі мен көк жағдайдан асып кеттім.
other,Жануарда көктен көк жағдаймен танысқан жоқпын.
other,Мен құс үйрену үшін болмайды.
other,"Келісіп, жануары болмайды, жануарды өзгерту керек."
other,"Мен өзге көктен жүріп, бақылауымды алдым."
other,"Мен әлсіздікті сезіп, қайта көруді болдырдым."
other,"Мен қайда болуым керек, бірақ мен өзімді таппаймын."
other,"Мен ойлаған боларымша, көпше болар емес."
other,Сен бірақ жалғыздың болуына қарайсың ба?
other,"Бүгін өте жақсы күн, қой көшпеймін."
other,"Әйгілі кеш, жылы!"
other,"Ай, қайда екі балауым?"
